2026-02-28T01:11:47.249Z [startup] pid=48568 execPath=C:\Users\docrs\AppData\Local\Temp\3AHEGqiFewqZgLeTcc0GrBzl8mR\In-Accord Launcher.exe portableDir=E:\In-Accord-Apps\dist\launcher-build-win32
2026-02-28T01:13:55.857Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:13:57.871Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:13:59.887Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:14:01.897Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:14:03.906Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:14:05.915Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:14:07.922Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:14:09.936Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:14:11.939Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:14:13.942Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:14:15.950Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:14:17.953Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:14:19.965Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:14:21.968Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:14:23.979Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:14:25.994Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:14:28.006Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:14:30.011Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:14:32.018Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:14:34.022Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:14:36.034Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:14:38.046Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:14:40.048Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:14:42.050Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:14:44.059Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:14:46.060Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:14:48.073Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:14:50.076Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:14:52.089Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:14:54.096Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:14:56.108Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:14:58.122Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:15:00.128Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:15:02.141Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:15:04.150Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:15:06.165Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:15:08.173Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:15:10.185Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:15:12.191Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:15:14.206Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
